qbname;cpera;yard;int;long;sack;loss;home;points
Brian GrieseB. Griese;0,626609442;211,3043478;1,076086957;88;2,097826087;14,41304348;0,52173913;22,61956522
Brian HoyerB. Hoyer;0,595496247;204,952381;0,619047619;70;1,547619048;10,92857143;0,523809524;22,14285714
Brock OsweilerB. Osweiler;0,598773006;169,4333333;0,733333333;53;1,733333333;12,16666667;0,533333333;23,53333333
Brooks BollingerB. Bollinger;0,569863014;101,1590909;0,45;50;2,45;15,05;0,363636364;15,63636364
Bruce GradkowskiB. Gradkowski;0,528913963;119,3235294;0,705882353;70;1,558823529;9,794117647;0,558823529;15,14705882
Bryce PettyB. Petty;0,563909774;134,8333333;1,166666667;52;2,166666667;13,16666667;0,5;13
Bubby BristerB. Brister;0,588888889;100,25;0,583333333;48;0,666666667;4,583333333;0,5;27,91666667
Byron LeftwichB. Leftwich;0,579439252;175,5333333;0,7;67;1,533333333;7,483333333;0,483333333;18,6
Cade McNownC. McNown;0,545631068;124,44;0,76;47;1,8;10,52;0,44;15,24
Cam NewtonC. Newton;0,584455959;234,5434783;0,836956522;82;2,369565217;18,29347826;0,5;24,60869565
Carson PalmerC. Palmer;0,625331126;252,9657143;1,028571429;78;1,817142857;12,65142857;0,502857143;23,05714286
Carson WentzC. Wentz;0,624382208;236,375;0,875;58;2,0625;13,3125;0,5;22,9375
Case KeenumC. Keenum;0,584298584;208,96;0,8;66;1,96;15,36;0,48;17,64
Chad HenneC. Henne;0,593142272;208,5645161;1,016129032;67;2,403225806;15,12903226;0,467741935;18,35483871
Chad HutchinsonC. Hutchinson;0,532687651;164,4;0,733333333;63;3,8;28,33333333;0,533333333;14,66666667
Chad PenningtonC. Pennington;0,660461352;200,258427;0,719101124;64;1,820224719;10,84269663;0,516853933;19,86516854
Charlie BatchC. Batch;0,566084788;158,3571429;0,742857143;76;2,3;12,71428571;0,514285714;21,12857143
Charlie FryeC. Frye;0,618906942;166,16;1,16;75;3,16;19,48;0,56;14,8
Charlie WhitehurstC. Whitehurst;0,553030303;123,15;0,4;61;1,9;10,2;0,5;16,1
Chris ChandlerC. Chandler;0,585791442;180,8383838;0,868686869;62;2,686868687;17,55555556;0,515151515;20,03030303
Chris MillerC. Miller;0,567901235;175,6666667;0,333333333;42;2,333333333;17;0,333333333;25,66666667
Chris RedmanC. Redman;0,572;138,2173913;0,608695652;46;1,47826087;8,608695652;0,565217391;22,86956522
Chris SimmsC. Simms;0,581213307;141,6818182;0,818181818;55;2,227272727;16,40909091;0,545454545;15,40909091
Chris WeinkeC. Weinke;0,544428773;139,4285714;0,928571429;48;1,678571429;10,64285714;0,464285714;15,82142857
Christian PonderC. Ponder;0,597918638;179,9459459;0,972972973;72;2,567567568;13,54054054;0,459459459;23,13513514
Cleo LemonC. Lemon;0,556728232;168,0769231;0,538461538;54;2,307692308;14,61538462;0,461538462;18,38461538
Cody KesslerC. Kessler;0,656410256;153,3333333;0,222222222;44;2,333333333;15,55555556;0,444444444;16,22222222
Colin KaepernickC. Kaepernick;0,59751773;188,7846154;0,461538462;63;2,630769231;16,30769231;0,523076923;21,53846154
Colt McCoyC. McCoy;0,603325416;192,6206897;0,793103448;56;2,655172414;15,86206897;0,448275862;17,06896552
Connor CookC. Cook;0,666666667;150;1;0;2;7;0;6
Connor ShawC. Shaw;0,5;177;1;49;4;27;0;10
Craig EricksonC. Erickson;0,535433071;118,125;0,375;61;1,625;11,625;0,25;20,125
Craig KrenzelC. Krenzel;0,464566929;119,6666667;1;43;3,833333333;26,33333333;0,333333333;15,66666667
Craig WhelihanC. Whelihan;0,47935368;166,3157895;1,526315789;55;1,894736842;14,68421053;0,526315789;15,21052632
Curtis PainterC. Painter;0,515679443;120,0714286;0,928571429;29;1,428571429;9;0,571428571;11,85714286
Dak PrescottD. Prescott;0,677559913;229,1875;0,25;56;1,5625;8,9375;0,5;26,3125
Damon HuardD. Huard;0,606765328;153,7317073;0,634146341;78;2,292682927;14,92682927;0,463414634;17
Dan MarinoD. Marino;0,576902025;223,5714286;0,928571429;66;1,25;9,053571429;0,5;21,10714286
Dan OrlovskyD. Orlovsky;0,58203125;136,173913;0,565217391;40;1,260869565;7,913043478;0,434782609;13,69565217
Danny KanellD. Kanell;0,513598326;134,9736842;0,894736842;52;1,657894737;13,47368421;0,473684211;15,86842105
Danny WuerffelD. Wuerffel;0,525714286;101,0952381;1,047619048;47;2,714285714;17,23809524;0,428571429;14
Daunte CulpepperD. Culpepper;0,630196937;232,2403846;1,019230769;68;2,865384615;16,30769231;0,490384615;21,38461538
Dave BrownD. Brown;0,527405603;135,4722222;0,888888889;71;2,527777778;14,77777778;0,5;14,25
Dave KriegD. Krieg;0,5975;145,8235294;0,705882353;55;0,941176471;7;0,529411765;21,23529412
David CarrD. Carr;0,596823996;155,3978495;0,76344086;81;2,870967742;16,8172043;0,47311828;17,97849462
David GarrardD. Garrard;0,616396317;195,1585366;0,658536585;75;2,182926829;13,59756098;0,548780488;20,84146341
Dennis DixonD. Dixon;0,593220339;100,5;0,5;52;1,25;10,25;0,5;20,5
Derek AndersonD. Anderson;0,54197995;167,6774194;0,967741935;70;1,225806452;8,548387097;0,516129032;18,61290323
Derek CarrD. Carr;0,609122402;238,1702128;0,659574468;68;1,510638298;9,744680851;0,510638298;21,74468085
